id,name,description,content,organizer,document,apply_method,deliver_method,processing_period,remark
1,家犬貓絕育補助,凡飼主為設籍新北市市民或家犬貓為公立動物之家認養之動物，可申請家犬貓絕育補助。,設籍於本市飼主為家犬貓進行絕育補助，可享公犬(貓) 600元，母犬(貓) 1200元補助。,"動物保護組
承辦人員：蔡溶莉
連絡電話：02-29596353 # 211","一、犬貓絕育補助申請書。
二、身分證正反面影本。
三、寵物登記證。
四、申請人存摺影本。
五、絕育手術術前、術後照片。
六、新北市政府飼養寵物認證卡正反面影本(反面需有申請人簽名)",申請人於家犬貓術後14日內(含例假日)，以郵寄、委託送件或臨櫃辦理。,撥款至申請人戶頭,30天,核准後15日內撥款。本補助款依「先申請者先審核」原則，辦理至本年度預算用罊為止。補助款將用罊之際，將於本處網站(http://www.ahiqo.ntpc.gov.tw)公告不再受理。
2,新北市弱勢家庭坐月子到宅服務,"為照顧本市弱勢家庭，本府社會局自109年3月開辦「弱勢家庭坐月子到服務」，針對符合資格之弱勢家庭生育新生兒，可二擇一選則生育獎勵金2萬元或120小時坐月子到宅服務。
一、服務對象：申請者應符合申請本市生育獎勵金之申請資格(新生兒之母或父應設籍並實際居住本市滿十個月以上，且新生兒應於本市完成出生登記)，且產婦使用服務時，應符合下列資格之ㄧ：
1.列冊低收入戶者。
2.列冊中低收入戶者。
3.產婦或其配偶領有身心障礙證明者。
4.符合特殊境遇家庭扶助核定資格者。
5.領有弱勢兒童及少年生活扶助之家庭。
6.符合設籍前新住民社會救助補助核定資格者。
7.其他經本府社工訪視評估實有需求者。
二、服務內容：含產婦照顧(含哺乳協助)、新生兒照顧(含育兒指導)、簡易家務及月子餐製作等服務。
三、申請方式：於懷孕4個月到生產前1個月，可攜帶孕婦健康手冊、身分證明及相關福利核定文件，郵寄或親自到「新北市弱勢家庭坐月子到宅服務平台」辦理。
※重要提醒：新北市弱勢家庭坐月子到宅服務(120小時)及新北市婦女生育獎勵金（2萬元）僅能擇一申請！！",為協助孕婦產後照顧及維護心理健康，分擔家庭照顧壓力、提高新生兒照顧品質，提供坐月子到宅服務，含產婦照顧(含哺乳協助)、新生兒照顧(含育兒指導)、簡易家務及月子餐製作等服務，以滿足弱勢家庭婦女生育照顧相關需求。,"新北市弱勢家庭坐月子到宅服務平台(委託社團法人新北市保母協會)

新北市板橋區四川路一段178號3樓

(02)8951-5868","一、申請表
二、孕婦健康手冊影本(媽媽手冊)：含封面、內頁（產檢及預產期紀錄）、需有醫院（診所）蓋章或醫生簽章。
三、申請人及配偶個人最近三個月內戶籍謄本正本一份
四、福利身分證明文件：
1、低收入戶證明
2、中低收入戶證明
3、身心障礙證明
4、特殊境遇家庭扶助證明
5、弱勢兒少生活扶助證明
五、申請服務切結書",符合規定之服務對象，得於懷孕4個月至產前一個月內，檢具相關申請文件，郵寄或親送至「新北市弱勢家庭坐月子到宅服務平台」提出申請。,,,
3,原住民族語言能力獎勵,"1.申請標準：設籍本市4個月(含)以上，具原住民身分，依原住民族語言能力認證辦法取得族語能力證明書者；同一等級以申請1次為限。
2.發給金額：
(1)中高級：5,000元
(2)高級：1萬元
(3)優級：1萬5,000元","1.設籍本市4個月(含)以上，具原住民身分，依原住民族語言能力認證辦法取得族語能力證明書者；同一等級以申請1次為限。
2.發給金額：
(1)中高級：5,000元
(2)高級：1萬元
(3)優級：1萬5,000元","新北市政府原住民族行政局教育文化科
承辦人員：楊立芸
連絡電話：(02)29603456分機3973
EMAIL：AR5498@ntpc.gov.tw
傳真：(02)29601121","申請人於申請期間內檢具下列文件採郵寄或親送本府原住民族行政局申請：
一、 新北市政府辦理原住民族語言能力認證測驗通過獎勵實施計畫申請表。】
二、 資料切結書。
三、 原住民族語言能力認證測驗成績證明影本。
四、 申請人之金融帳戶之存摺封面影本。
五、 領款收據。
六、 個人資料查調同意書。",申請人於原住民族委員會寄發當年度族語能力證明書之日起2個月內，向新北市政府原住民族行政局提出申請。,由本局直接撥付帳戶。,14天,繳付與否：免費申請。
4,二至四歲幼兒育兒津貼,"本津貼自幼兒滿2歲當月未領有0~2歲育兒津貼或托育補助者，得於滿2歲生日當天起申請，需同時符合以下條件，倘領有0-2歲育兒津貼或托育補助者，將依據衛福部資訊直接審定 ：
1.生理年齡滿2歲至當學年度9月1日前未滿5歲之我國籍幼兒。
2.最近年度之所得均未達申報標準或合併或單獨申報綜合所得稅稅率未達20%。
3.幼兒父、母或監護人非領取因照顧該名幼兒之育嬰留職停薪津貼期間。
4.幼兒非就讀於公立幼兒園、非營利幼兒園、社區（部落）互助教保服務中心、特教學校或準公共幼兒園期間。
5.幼兒未經政府公費安置收容。","一、每個月可領育兒津貼2,500元，第3名以上子女再加發1,000元。(以當年度政府公告金額為原則)
二、本津貼於次月底前核發上月份補助款。","新北市政府教育局
承辦人員：張小姐
連絡電話：(02)22522395","1、2至4歲育兒津貼申請表（需父母雙方或監護人簽章）。
2、幼兒及申請人（父母雙方或監護人）的身分證明文件（如身分證影本、戶口名簿影本，如為外籍人士請提供居留證或護照影本）。
3、幼兒或申請人（父母其中一方或監護人）之郵局存簿影本。
4、其他相關佐證資料（如第3名以上子女相關證明文件等）。
5、委託他人代為申請者，申請人應於申請表內有關同意授權委託之欄位簽章。但代理人送件時，仍應提交上開資料。","1、請幼兒之父母或監護人填具申請書並檢附相關文件，親送、郵寄，向幼兒現戶籍所在地區公所提出申請。
2、至教育部指定之資訊網站（https://e-service.k12ea.gov.tw）採網路線上申辦方式辦理。",經審核確認符合請領資格者，政府將自受理申請之次月起，按月於每月月底前撥付育兒津貼至申請人指定帳戶（父母其中一方、監護人或幼兒）。,50天,
5,青年職得好評,"協助失業青年釐清職涯發展方向、提升求職技巧，並運用工作卡（職涯履歷表）展現個人就業優勢，以解決青年尋職困難問題。
失業青年應符合下列各項條件：
1.年滿15歲至29歲之本國籍青年。
2.未就學、未就業。
3.失業期間連續達6個月以上。",青年在完成深度就業諮詢後3個月內找到工作，且受僱連續達3個月以上並依法參加就業保險，則可向公立就業服務機構申請發給尋職就業獎勵金3萬元。,"主辦單位：勞工局/就業服務處
承辦人員：葉榮芝
聯絡電話：(02) 22465066分機 1147
傳真：(02)22465099
Email：AO6641@ntpc.gov.tw","一、 青年應檢附下列文件，親自向公立就業服務機構辦理求職登記及申請參加本計畫：
1. 申請書。
2.國民身分證正反面影本。
3. 最高學歷畢（肄）業證書影本。
4. 其他本計畫規定之文件。",直接洽就業服務站(台)辦理,金融機構轉帳,青年符合前點申請尋職就業獎勵金規定者，應於連續受僱於同一雇主滿九十日之次日起九十日內，檢附下列文件向公立就業服務機構申請尋職就業獎勵金,
6,新北市65至74歲長者肺炎鏈球菌疫苗接種計畫,設籍本市65歲以上市民(接種年-出生年)尚未接種者都可持「身分證、健保IC卡」至本市各區衛生所及合約醫療院所免費接種肺炎鏈球菌疫苗。,"1.新北市各區衛生所：不收費。
2.合約院所：酌收掛號費(0-150元)及其他接種相關醫療費用(注射費、醫材費)。","承辦人員:疾病管制科 徐小姐 
連絡電話:(02)2257-7155分機1832",身分證、健保卡,"符合資格民眾至本市29區衛生所及合約醫療院所辦理接種。
另因疫苗採分批下貨，欲前往接種前，可先致電合約醫療院所確認目前是否尚有疫苗庫存量。",無,全年受理,
7,身心障礙者免徵使用牌照稅,"一、身心障礙者有駕照，僅能以本人車輛辦理免徵使用牌照稅。
二、身心障礙者本人車輛：由稅捐處主動審核免徵使用牌照稅，並通知身心障礙者，每人以1輛為限。
三、身心障礙者之配偶或同一戶籍二親等內親屬所有車輛：需由民眾提出申請減免使用牌照稅，每一身心障礙者人以1輛為限。","如核符身障者減免牌照稅規定者，自申請日起至減免原因消滅止，免徵使用牌照稅。但汽缸總排氣量超過2,400CC、完全以電能為動力之馬達最大馬力超過262HP或265.9PS者，其免徵金額以2,400CC、262HP或265.9PS車輛之稅額為限，超過部分，不予免徵。","稅捐稽徵機關(消費稅科及各分處使用牌照稅股)
電話:02-8952-8200分機630及各分處使用牌照稅電話","一、身心障礙證明。
二、行車執照。
三、戶口名簿(車輛為身心障礙者之配偶所有時，得以雙方身分證代替)。","一、身心障礙者之配偶或同戶籍二親等內親屬車輛：由民眾申請。
二、身心障礙者本人車輛：由稅捐處主動審核免稅，並通知身心障礙者。",臨櫃、通訊、線上申辦。,"一、申請方式為項次一者，處理期限為7天。
二、申請方式為項次二者，本處依清冊辦理，處理期限為1個月。",可隨時提出申請
8,補助本市市民至基隆市火化費用,"本市幅員廣大，現有1處三峽昇華園火化場，民眾受設施區位影響，選擇跨區前往臺北、基隆及桃園等地區辦理火化，查鄰近縣市（本市、台北市、桃園市）火化費用的規定，設籍外縣市者收費6,000元，惟僅基隆市為設籍外縣市者收費9,000元。為均衡北北基桃區域火化費用，自108年4月起實施補助。",,,,,,,
9,身心障礙者醫療復健所需醫療費用及醫療輔具補助,,"自108年4月起，本市市民至基隆市火化，補助每位申請人新台幣3,000元整(免收火化費用者及已領取「新北市低收入戶或中低收入戶至外縣市火化費用補助」者，將不另予補助。)。","承辦機關:新北市政府殯葬管理處綜合企劃課
承辦人:李苓榛

電話:(02)22571207#173","申請人應自行檢附之文件：
一、申請人與亡者關係證明文件
二、亡者除戶謄本
三、火化繳費證明影本
四、基隆市政府開立之火化證明影本
五、申請人金融機構存摺影本",申領人檢附相關證件，親送或郵寄至新北市政府殯葬管理處。,直接、郵寄交付,約14個工作日(含審核及相關作業天數)將補助費用匯入金融機構帳戶。,
10,長者健康檢查服務,針對設籍新北市年滿65歲或年滿55歲的原住民長者提供每年一次免費成人健康檢查外，本市另加值提供其他服務項目。,"1.一般成人健康檢查項目
2.加值服務：ICOPE量表評估、AD8量表評估、SPPB量表評估、MNA-SF量表評估、GDS-15量表評估、視力測試、聽力障礙之社會需求支持評估、社會性照護與支持評估、運動處方、營養處方、血清白蛋白(albumin)、握力、口腔檢查及塗氟、低劑量電腦斷層掃描肺癌篩檢(符合條件者限量1,000名)。","承辦人員:健康管理科 韓先生
連絡電話:(02)2257-7155分機1676",身分證、健保卡及印章,市民逕洽29區衛生所及合約醫院,無,自109年1月1日至109年11月30日止,自109年1月1日至109年11月30日止
