welfare_id,tag_id
1,1
1,34
1,20
1,35
1,36
2,1
2,20
2,35
2,37
2,34
3,1
3,20
3,47
4,1
4,10
4,22
4,20
5,1
5,21
5,22
6,1
6,21
6,23
6,39
6,27
6,9
7,1
7,24
7,49
8,1
8,32
8,12
8,11
9,1
9,20
9,32
10,1
10,23
10,40
11,1
11,23
11,51
12,20
12,21
12,10
12,18
12,19
12,17
12,1
13,21
13,34
13,36
13,35
13,1
14,1
14,21
14,32
15,1
15,20
15,21
15,51
16,1
16,21
16,45
17,20
17,1
17,45
18,10
18,1
18,45
19,20
19,1
19,38
19,51
20,30
20,1
20,14
21,1
21,20
21,14
22,1
22,51
23,1
23,21
23,47
24,1
24,21
24,14
25,1
25,21
25,32
26,1
26,20
26,12
27,1
27,20
27,21
27,10
28,1
28,5
29,1
29,10
29,7
29,6
30,1
30,34
30,19
30,46
31,1
31,19
31,22
31,17
32,1
32,22
32,17
33,1
33,17
33,32
34,1
34,17
34,37
34,19
35,1
35,50
35,17
36,1
36,22
36,21
36,36
37,1
37,32
37,12
37,11
37,8
37,18
37,36
38,1
38,18
38,22
38,19
39,1
39,19
39,37
39,36
39,22
39,34
39,35
40,1
40,32
40,9
40,10
40,20
41,1
41,27
41,37
41,20
42,1
42,37
42,20
42,16
43,1
43,37
43,18
43,20
43,21
43,10
44,1
44,37
44,18
44,20
44,21
44,10
45,1
45,10
45,19
45,41
45,17
46,1
46,20
46,21
46,37
47,1
47,18
47,20
47,21
47,10
48,1
48,10
48,45
49,1
49,33
49,10
50,1
50,10
50,28
50,29
51,1
51,10
51,20
51,21
52,1
52,10
52,20
52,21
53,1
53,10
53,20
53,21
53,33
54,1
54,14
54,10
55,1
55,13
56,1
56,20
56,21
56,12
57,1
57,10
57,51
58,1
58,10
59,1
59,10
59,22
60,1
60,10
61,1
61,10
61,51
62,1
62,10
62,22
62,20
62,21
63,1
63,20
63,21
63,33
64,1
64,10
64,51
65,1
65,10
65,51
66,1
66,10
66,33
66,32
67,1
67,51
67,10
68,1
68,20
68,34
68,35
68,36
69,1
69,21
69,34
69,35
69,36
70,1
70,34
70,35
70,36
71,1
71,34
71,35
71,36
72,1
72,34
72,35
72,36
73,1
73,34
73,35
73,36
74,1
74,34
74,35
74,36
75,1
75,34
75,35
75,36
76,1
76,34
76,35
76,36
77,1
77,34
77,35
77,36
78,1
78,34
78,35
78,36
79,1
79,34
79,35
79,36
80,1
80,34
80,35
80,36
81,1
81,34
81,35
81,36
82,1
82,34
82,35
82,36
83,1
83,34
83,35
83,36
84,1
84,34
84,35
84,36
85,1
85,34
85,35
85,36
86,1
86,34
86,35
86,36
87,1
87,34
87,35
87,36
88,1
88,34
88,35
88,36
89,1
89,34
89,35
89,36
90,1
90,34
90,35
90,36
91,1
91,34
91,35
91,36
92,1
92,34
92,35
92,36
93,1
93,34
93,35
93,36
94,1
94,34
94,35
94,36
95,1
95,34
95,35
95,36
96,1
96,34
96,35
96,36
97,1
97,34
97,35
97,36
98,1
98,34
98,35
98,36
99,1
99,34
99,35
99,36
100,1
100,34
100,35
100,36
100,20
101,1
101,34
101,35
101,36
101,20
101,21
102,2
102,20
103,2
103,20
103,22
104,2
104,20
104,35
104,34
105,2
105,20
105,12
105,32
106,2
106,20
106,41
106,44
107,2
107,20
107,21
107,38
108,2
108,32
108,20
108,21
109,2
109,23
109,51
110,2
110,39
111,2
111,23
111,17
111,18
111,27
112,2
112,23
112,42
113,2
113,23
113,17
113,18
113,37
114,2
114,23
114,27
114,37
115,2
115,23
115,22
115,18
116,2
116,22
116,18
117,2
117,22
117,21
118,2
118,10
118,33
119,2
119,10
119,45
120,2
120,10
120,46
120,44
121,2
121,10
121,22
122,3
122,24
122,22
123,3
123,24
123,40
124,3
124,23
124,41
125,3
125,28
125,30
126,3
126,13
126,10
127,3
127,36
127,34
127,35
128,3
128,15
129,3
129,14
129,10
129,12
130,3
130,22
130,21
131,3
131,10
132,3
132,29
132,43
132,34
133,3
133,50
133,30
134,3
134,28
134,38
134,10
135,3
135,51
135,10
136,3
136,23
136,26
137,3
137,50
137,24
138,3
138,38
138,20
138,21
138,54
139,3
139,47
139,21
139,30
139,18
139,20
140,3
140,51
140,48
141,3
141,43
141,55
142,3
142,23
142,26
143,3
143,23
143,26
144,3
144,40
144,28
144,24
144,25
145,3
145,11
145,32
145,21
145,20
146,3
146,31
146,37
146,28
147,3
147,28
147,27
147,24
148,3
148,28
148,10
148,27
149,3
149,50
149,22
149,27
149,24
149,54
149,21
149,20
150,3
150,11
150,23
150,40
150,30
150,9
150,22
150,32
151,3
151,22
151,21
151,10
151,30
151,19
151,20
152,3
152,29
152,10
153,4
153,37
153,18
153,21
153,20
154,4
154,37
154,18
154,21
154,20
155,4
155,37
155,21
155,20
156,4
156,37
156,21
156,20
156,10
156,15
157,4
157,22
157,21
157,20
158,4
158,22
158,21
159,4
159,32
159,21
159,20
159,10
159,15
159,8
159,9
160,4
160,10
160,20
160,51
160,32
161,52
161,20
161,21
161,53
162,52
162,20
162,21
162,53
163,52
163,20
163,21
163,53
164,52
164,20
164,21
164,53
165,52
165,20
165,21
165,53
166,52
166,20
166,21
166,53
167,52
167,20
167,21
167,53
168,52
168,20
168,21
168,53
169,52
169,20
169,21
169,53
170,52
170,20
170,21
170,53
171,52
171,20
171,21
171,53
172,52
172,20
172,21
172,53
173,52
173,20
173,21
173,53
174,52
174,20
174,21
174,53
175,52
175,20
175,21
175,53
176,52
176,20
176,21
176,53
177,52
177,20
177,21
177,53
