id,women,pregnancy,birth,care
1,TRUE,TRUE,TRUE,FALSE
2,TRUE,TRUE,FALSE,TRUE
3,FALSE,FALSE,FALSE,FALSE
4,FALSE,FALSE,FALSE,FALSE
5,FALSE,FALSE,FALSE,FALSE
6,FALSE,FALSE,FALSE,FALSE
7,FALSE,FALSE,FALSE,FALSE
8,FALSE,FALSE,FALSE,FALSE
9,FALSE,FALSE,FALSE,FALSE
10,FALSE,FALSE,FALSE,FALSE
11,FALSE,FALSE,FALSE,FALSE
12,FALSE,FALSE,FALSE,FALSE
13,TRUE,TRUE,TRUE,FALSE
14,FALSE,FALSE,FALSE,FALSE
15,FALSE,FALSE,FALSE,FALSE
16,FALSE,FALSE,FALSE,FALSE
17,FALSE,FALSE,FALSE,FALSE
18,FALSE,FALSE,FALSE,FALSE
19,FALSE,FALSE,FALSE,FALSE
20,FALSE,FALSE,FALSE,FALSE
21,FALSE,FALSE,FALSE,FALSE
22,FALSE,FALSE,FALSE,FALSE
23,FALSE,FALSE,FALSE,FALSE
24,FALSE,FALSE,FALSE,FALSE
25,FALSE,FALSE,FALSE,FALSE
26,FALSE,FALSE,FALSE,FALSE
27,FALSE,FALSE,FALSE,FALSE
28,FALSE,FALSE,FALSE,FALSE
29,FALSE,FALSE,FALSE,FALSE
30,TRUE,FALSE,FALSE,FALSE
31,FALSE,FALSE,FALSE,FALSE
32,FALSE,FALSE,FALSE,FALSE
33,FALSE,FALSE,FALSE,FALSE
34,FALSE,FALSE,FALSE,TRUE
35,FALSE,FALSE,FALSE,FALSE
36,FALSE,FALSE,TRUE,FALSE
37,FALSE,FALSE,TRUE,FALSE
38,FALSE,FALSE,FALSE,FALSE
39,TRUE,TRUE,TRUE,TRUE
40,FALSE,FALSE,FALSE,FALSE
41,FALSE,FALSE,FALSE,TRUE
42,FALSE,FALSE,FALSE,TRUE
43,FALSE,FALSE,FALSE,TRUE
44,FALSE,FALSE,FALSE,TRUE
45,FALSE,FALSE,FALSE,FALSE
46,FALSE,FALSE,FALSE,FALSE
47,FALSE,FALSE,FALSE,FALSE
48,FALSE,FALSE,FALSE,FALSE
49,FALSE,FALSE,FALSE,FALSE
50,FALSE,FALSE,FALSE,FALSE
51,FALSE,FALSE,FALSE,FALSE
52,FALSE,FALSE,FALSE,FALSE
53,FALSE,FALSE,FALSE,FALSE
54,FALSE,FALSE,FALSE,FALSE
55,FALSE,FALSE,FALSE,FALSE
56,FALSE,FALSE,FALSE,FALSE
57,FALSE,FALSE,FALSE,FALSE
58,FALSE,FALSE,FALSE,FALSE
59,FALSE,FALSE,FALSE,FALSE
60,FALSE,FALSE,FALSE,FALSE
61,FALSE,FALSE,FALSE,FALSE
62,FALSE,FALSE,FALSE,FALSE
63,FALSE,FALSE,FALSE,FALSE
64,FALSE,FALSE,FALSE,FALSE
65,FALSE,FALSE,FALSE,FALSE
66,FALSE,FALSE,FALSE,FALSE
67,FALSE,FALSE,FALSE,FALSE
68,TRUE,TRUE,TRUE,FALSE
69,TRUE,TRUE,TRUE,FALSE
70,TRUE,TRUE,TRUE,FALSE
71,TRUE,TRUE,TRUE,FALSE
72,TRUE,TRUE,TRUE,FALSE
73,TRUE,TRUE,TRUE,FALSE
74,TRUE,TRUE,TRUE,FALSE
75,TRUE,TRUE,TRUE,FALSE
76,TRUE,TRUE,TRUE,FALSE
77,TRUE,TRUE,TRUE,FALSE
78,TRUE,TRUE,TRUE,FALSE
79,TRUE,TRUE,TRUE,FALSE
80,TRUE,TRUE,TRUE,FALSE
81,TRUE,TRUE,TRUE,FALSE
82,TRUE,TRUE,TRUE,FALSE
83,TRUE,TRUE,TRUE,FALSE
84,TRUE,TRUE,TRUE,FALSE
85,TRUE,TRUE,TRUE,FALSE
86,TRUE,TRUE,TRUE,FALSE
