id,age_lower,age_upper
1,NULL,NULL
2,NULL,NULL
3,NULL,NULL
4,NULL,NULL
5,65,NULL
6,NULL,NULL
7,25,64
8,NULL,NULL
9,NULL,NULL
10,NULL,NULL
11,NULL,NULL
12,15,25
13,NULL,NULL
14,NULL,NULL
15,NULL,NULL
16,15,75
17,15,75
18,15,60
19,NULL,NULL
20,50,NULL
21,65,NULL
22,65,NULL
23,65,NULL
24,16,64
25,65,NULL
26,65,NULL
27,NULL,NULL
28,65,NULL
29,18,NULL
30,NULL,NULL
31,NULL,65
32,NULL,65
33,NULL,65
34,NULL,65
35,NULL,65
36,NULL,18
37,NULL,18
38,NULL,18
39,NULL,19
40,NULL,7
41,NULL,NULL
42,NULL,NULL
43,NULL,NULL
44,NULL,NULL
45,NULL,65
46,NULL,NULL
47,NULL,2
48,NULL,NULL
49,NULL,NULL
50,20,NULL
51,NULL,NULL
52,NULL,NULL
53,NULL,NULL
54,NULL,NULL
55,NULL,NULL
56,15,64
57,NULL,NULL
58,NULL,NULL
59,16,64
60,NULL,NULL
61,NULL,NULL
62,NULL,18
63,NULL,NULL
64,NULL,NULL
65,NULL,NULL
66,NULL,NULL
67,NULL,NULL
68,NULL,NULL
69,NULL,NULL
70,NULL,NULL
71,NULL,NULL
72,NULL,NULL
73,NULL,NULL
74,NULL,NULL
75,NULL,NULL
76,NULL,NULL
77,NULL,NULL
78,NULL,NULL
79,NULL,NULL
80,NULL,NULL
81,NULL,NULL
82,NULL,NULL
83,NULL,NULL
84,NULL,NULL
85,NULL,NULL
86,NULL,NULL
87,NULL,NULL
88,NULL,NULL
89,NULL,NULL
90,NULL,NULL
91,NULL,NULL
92,NULL,NULL
93,NULL,NULL
94,NULL,NULL
95,NULL,NULL
96,NULL,NULL
97,NULL,NULL
98,NULL,NULL
99,NULL,NULL
100,NULL,NULL
101,NULL,NULL
